Date,Price,Open,High,Low,Vol.,Change %
2020-10-04,0.2478,0.2328,0.2485,0.2328,23.25M,0.0644
2020-10-05,0.2502,0.2479,0.2523,0.2478,30.06M,0.0097
2020-10-06,0.2456,0.2505,0.2562,0.2453,51.03M,-0.0184
2020-10-07,0.2488,0.2456,0.2488,0.2441,18.06M,0.013
2020-10-08,0.2511,0.2488,0.2513,0.2444,19.05M,0.0092
2020-10-09,0.2529,0.2512,0.2529,0.2507,21.32M,0.0072
2020-10-10,0.2541,0.2528,0.2574,0.2528,18.41M,0.0047
2020-10-11,0.2555,0.2541,0.2567,0.2541,12.07M,0.0055
2020-10-12,0.256,0.2555,0.258,0.2525,25.98M,0.002
2020-10-13,0.2564,0.256,0.2585,0.2552,22.88M,0.0016
2020-10-14,0.2491,0.2564,0.2565,0.2483,28.89M,-0.0285
2020-10-15,0.2458,0.2489,0.2489,0.2452,16.51M,-0.0132
2020-10-16,0.24,0.2456,0.2466,0.2383,19.77M,-0.0236
2020-10-17,0.2404,0.2402,0.2419,0.2395,5.42M,0.0017
2020-10-18,0.2422,0.2405,0.2427,0.2405,4.84M,0.0075
2020-10-19,0.2454,0.2422,0.2476,0.241,13.05M,0.0132
2020-10-20,0.2431,0.2455,0.2458,0.2431,11.73M,-0.0094
2020-10-21,0.2507,0.2431,0.2518,0.2431,21.25M,0.0313
2020-10-22,0.2562,0.2504,0.261,0.2504,26.26M,0.0219
2020-10-23,0.2543,0.2562,0.257,0.2527,12.29M,-0.0074
2020-10-24,0.2558,0.2543,0.2562,0.2538,8.29M,0.0059
2020-10-25,0.2524,0.2556,0.2556,0.2511,6.84M,-0.0133
2020-10-26,0.2474,0.2525,0.2553,0.2474,11.91M,-0.0198
2020-10-27,0.2519,0.2474,0.2523,0.2474,10.49M,0.0182
2020-10-28,0.2448,0.2521,0.2521,0.2448,13.82M,-0.0282
2020-10-29,0.2412,0.2446,0.245,0.2412,8.45M,-0.0147
2020-10-30,0.2377,0.2412,0.2412,0.2326,11.60M,-0.0145
2020-10-31,0.2378,0.2377,0.2406,0.2369,9.12M,0.0004
2020-11-01,0.2378,0.2379,0.2391,0.2358,4.44M,0
2020-11-02,0.233,0.238,0.2385,0.2327,9.60M,-0.0202
2020-11-03,0.2381,0.2327,0.2381,0.2274,22.74M,0.0219
2020-11-04,0.2359,0.2381,0.2381,0.234,10.22M,-0.0092
2020-11-05,0.2445,0.2357,0.2458,0.2357,18.42M,0.0365
2020-11-06,0.2583,0.2448,0.2587,0.2448,21.34M,0.0564
2020-11-07,0.2489,0.2583,0.2646,0.2475,24.55M,-0.0364
2020-11-08,0.2536,0.2488,0.2544,0.2488,7.21M,0.0189
2020-11-09,0.2501,0.2536,0.2547,0.2492,12.82M,-0.0138
2020-11-10,0.2524,0.2503,0.2636,0.2494,36.68M,0.0092
2020-11-11,0.2548,0.2523,0.2581,0.2517,18.17M,0.0095
2020-11-12,0.2534,0.2548,0.2564,0.2514,14.45M,-0.0055
2020-11-13,0.2641,0.2535,0.2641,0.2535,18.89M,0.0422
2020-11-14,0.2667,0.2644,0.2698,0.263,34.47M,0.0098
2020-11-15,0.2675,0.2675,0.2739,0.2657,22.91M,0.003
2020-11-16,0.2863,0.2675,0.2863,0.2668,33.76M,0.0703
2020-11-17,0.3009,0.2866,0.3009,0.2866,48.81M,0.051
2020-11-18,0.2907,0.301,0.3016,0.2885,63.64M,-0.0339
2020-11-19,0.3032,0.2907,0.3032,0.2842,44.85M,0.043
2020-11-20,0.3296,0.3033,0.3296,0.3012,63.76M,0.0871
